resource_id	resource_type	candidate_id	accession	trait_or_resource	role	selection_state	direct_phenotype	nonimmune_family	cases	controls	effective_n	genome_build	ancestry_or_state	format	provider	metadata_url	data_url	expected_bytes	budget_bytes	provider_checksum_algorithm	provider_checksum	outcome_opened	opening_order	notes
L02	ld_metadata	NA	integrated_call_samples_v3.20130502.ALL.panel	1000G_population_panel	EUR_sample_filter	selected	NA	NA	NA	NA	NA	GRCh38	EUR_codes_CEU_FIN_GBR_IBS_TSI	TSV	International_Genome_Sample_Resource	https://www.internationalgenome.org/data-portal/data-collections/1000genomes_30x/	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/release/20130502/integrated_call_samples_v3.20130502.ALL.panel	55156	55156	ETag	HTTP_ETag_d774-5029fd78dbfc0	false	NA	local_SHA256_required
L03	ld_metadata	NA	1kGP.3202_samples.pedigree_info.txt	1000G_pedigree	unrelated_sample_filter	selected	NA	NA	NA	NA	NA	GRCh38	3202_samples	text	International_Genome_Sample_Resource	https://www.internationalgenome.org/data-portal/data-collections/1000genomes_30x/	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/working/1kGP.3202_samples.pedigree_info.txt	52119	52119	ETag	HTTP_ETag_cb97-5cdac99aeec00	false	NA	local_SHA256_required
B01	baseline_ld	NA	baseline-LD_v2.2_annotations	baseline_LD_annotations	partitioned_heritability_baseline	selected	NA	NA	NA	NA	NA	GRCh37	European	TGZ	Zenodo_S_LDSC_reference_release	https://doi.org/10.5281/zenodo.10515792	https://zenodo.org/records/10515792/files/1000G_Phase3_baselineLD_v2.2_ldscores.tgz?download=1	675845447	675845447	MD5	b261e0caf06a003e7522938e01b3d349	false	NA	baseline_annotations_and_LD_scores
B02	baseline_ld	NA	baseline-LD_v2.2_frequencies	1000G_Phase3_frequencies	partitioned_heritability_frequency	selected	NA	NA	NA	NA	NA	GRCh37	European	TGZ	Zenodo_S_LDSC_reference_release	https://doi.org/10.5281/zenodo.10515792	https://zenodo.org/records/10515792/files/1000G_Phase3_frq.tgz?download=1	85939688	85939688	MD5	ac29686ffd5b6378789857a522ebca77	false	NA	frequency_files
B03	baseline_ld	NA	baseline-LD_v2.2_plink	1000G_Phase3_PLINK	partitioned_heritability_reference	selected	NA	NA	NA	NA	NA	GRCh37	European	TGZ	Zenodo_S_LDSC_reference_release	https://doi.org/10.5281/zenodo.10515792	https://zenodo.org/records/10515792/files/1000G_Phase3_plinkfiles.tgz?download=1	288277344	288277344	MD5	a7773ab485827b533cb300c76356d76b	false	NA	PLINK_reference
B04	baseline_ld	NA	baseline-LD_v2.2_weights	HapMap3_no_MHC_weights	partitioned_heritability_weights	selected	NA	NA	NA	NA	NA	GRCh37	European	TGZ	Zenodo_S_LDSC_reference_release	https://doi.org/10.5281/zenodo.10515792	https://zenodo.org/records/10515792/files/1000G_Phase3_weights_hm3_no_MHC.tgz?download=1	12757654	12757654	MD5	a98ac0f089ee285177544a3e6e721ca3	false	NA	regression_weights
B05	baseline_ld	NA	baseline-LD_v2.2_hm3_list	HapMap3_no_MHC_SNP_list	partitioned_heritability_regression_SNPs	selected	NA	NA	NA	NA	NA	GRCh37	European	text	Zenodo_S_LDSC_reference_release	https://doi.org/10.5281/zenodo.10515792	https://zenodo.org/records/10515792/files/hm3_no_MHC.list.txt?download=1	12395058	12395058	MD5	65a34c68833eb4a764d0707b5505b508	false	NA	regression_SNP_list
B06	baseline_ld	NA	baseline-LD_version_record	baseline_release_record	partitioned_heritability_version	selected	NA	NA	NA	NA	NA	GRCh37	European	text	Zenodo_S_LDSC_reference_release	https://doi.org/10.5281/zenodo.10515792	https://zenodo.org/records/10515792/files/readme_baseline_versions.txt?download=1	3775	3775	MD5	9a800a186e8aa0449865d81a1ba4a00e	false	NA	version_record
E01	eqtl	NA	QTD000689	CD4_unstimulated_16h_sumstats	eqtl_rest_sumstats	selected	NA	NA	NA	NA	NA	GRCh38	combined_naive_CD4_105_donors	bgzip_TSV_and_tabix	eQTL_Catalogue	https://www.ebi.ac.uk/eqtl/Studies/	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000041/QTD000689/	2721454367	2721454367	NA	NA	false	8	members=QTD000689.all.tsv.gz,QTD000689.all.tsv.gz.tbi;local_SHA256_required
E02	eqtl	NA	QTD000689_SUSIE	CD4_unstimulated_16h_finemap	eqtl_rest_finemap	selected	NA	NA	NA	NA	NA	GRCh38	combined_naive_CD4_105_donors	gzip_TSV_and_text	eQTL_Catalogue	https://www.ebi.ac.uk/eqtl/Data_access/	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/susie/QTS000041/QTD000689/	333651070	333651070	NA	NA	false	9	members=QTD000689.credible_sets.tsv.gz,QTD000689.lbf_variable.txt.gz;local_SHA256_required
E03	eqtl	NA	QTD000693	CD4_stimulated_16h_sumstats	eqtl_stim16_sumstats	selected	NA	NA	NA	NA	NA	GRCh38	anti_CD3_CD28_16h_99_donors	bgzip_TSV_and_tabix	eQTL_Catalogue	https://www.ebi.ac.uk/eqtl/Studies/	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000041/QTD000693/	2757478776	2757478776	NA	NA	false	10	members=QTD000693.all.tsv.gz,QTD000693.all.tsv.gz.tbi;local_SHA256_required
E04	eqtl	NA	QTD000693_SUSIE	CD4_stimulated_16h_finemap	eqtl_stim16_finemap	selected	NA	NA	NA	NA	NA	GRCh38	anti_CD3_CD28_16h_99_donors	gzip_TSV_and_text	eQTL_Catalogue	https://www.ebi.ac.uk/eqtl/Data_access/	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/susie/QTS000041/QTD000693/	261276824	261276824	NA	NA	false	11	members=QTD000693.credible_sets.tsv.gz,QTD000693.lbf_variable.txt.gz;local_SHA256_required
E05	eqtl	NA	QTD000690	CD4_stimulated_40h_sumstats	eqtl_stim40_sumstats	selected	NA	NA	NA	NA	NA	GRCh38	anti_CD3_CD28_40h_94_donors	bgzip_TSV_and_tabix	eQTL_Catalogue	https://www.ebi.ac.uk/eqtl/Studies/	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000041/QTD000690/	3242051603	3242051603	NA	NA	false	12	members=QTD000690.all.tsv.gz,QTD000690.all.tsv.gz.tbi;local_SHA256_required
E06	eqtl	NA	QTD000690_SUSIE	CD4_stimulated_40h_finemap	eqtl_stim40_finemap	selected	NA	NA	NA	NA	NA	GRCh38	anti_CD3_CD28_40h_94_donors	gzip_TSV_and_text	eQTL_Catalogue	https://www.ebi.ac.uk/eqtl/Data_access/	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/susie/QTS000041/QTD000690/	417831355	417831355	NA	NA	false	13	members=QTD000690.credible_sets.tsv.gz,QTD000690.lbf_variable.txt.gz;local_SHA256_required
E07	eqtl_excluded	NA	QTS000040	CD4_subtype_eQTL_sensitivity	excluded_fixed_state_mismatch	excluded	NA	NA	NA	NA	NA	GRCh38	29_naive_labeled_subtypes	bgzip_TSV_and_tabix	eQTL_Catalogue	https://www.ebi.ac.uk/eqtl/Studies/	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000040/	NA	0	NA	NA	false	NA	no_outcome_blind_subtype_role_locked
C01	chromatin	NA	GSE118189	primary_CD4_ATAC	atac_state_annotation	selected	NA	NA	NA	NA	NA	hg19	resting_and_stimulated_primary_human_CD4	gzip_TSV	NCBI_GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118189	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118189/suppl/GSE118189_ATAC_counts.txt.gz	116752142	116752142	NA	NA	false	14	strict_reciprocal_liftover_required
C02	chromatin	NA	GSE244035_MATRIX	primary_CD4_H3K27ac_matrix	h3k27ac_state_matrix	selected	NA	NA	NA	NA	NA	GRCh38	Teff_Treg_rest_stim48h_160_samples	gzip_CSV	NCBI_GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE244035	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE244nnn/GSE244035/suppl/GSE244035_Peak_matrix_total_samples_cutnrun_raw_H3K27ac_combined_peaks_total_5000.csv.gz	2652932	2652932	NA	NA	false	15	no_exact_8h_state
C03	chromatin	NA	GSE244035_RAW	primary_CD4_H3K27ac_peaks	h3k27ac_state_peaks	selected	NA	NA	NA	NA	NA	GRCh38	Teff_Treg_rest_stim48h_160_samples	TAR_of_gzip_BED_and_BEDGRAPH	NCBI_GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE244035	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE244nnn/GSE244035/suppl/GSE244035_RAW.tar	11307591680	11307591680	NA	NA	false	16	no_exact_8h_state
R01	build_reference	NA	hg19ToHg38.over.chain.gz	forward_liftover_chain	ATAC_build_harmonization	selected	NA	NA	NA	NA	NA	hg19_to_GRCh38	NA	gzip_chain	UCSC_Genome_Browser	https://hgdownload.soe.ucsc.edu/goldenPath/hg19/liftOver/	https://hgdownload.soe.ucsc.edu/goldenPath/hg19/liftOver/hg19ToHg38.over.chain.gz	227698	227698	MD5	35887f73fe5e2231656504d1f6430900	false	NA	local_SHA256_required
R02	build_reference	NA	hg38ToHg19.over.chain.gz	reciprocal_liftover_chain	ATAC_reciprocal_validation	selected	NA	NA	NA	NA	NA	GRCh38_to_hg19	NA	gzip_chain	UCSC_Genome_Browser	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToHg19.over.chain.gz	1246411	1246411	MD5	ff3031d93792f4cbb86af44055efd903	false	NA	exact_provider_size_local_SHA256_required
R03	build_reference	NA	hg19_blacklist_v2	hg19_blacklist	source_blacklist	selected	NA	NA	NA	NA	NA	hg19	NA	gzip_BED	Boyle_Lab	https://github.com/Boyle-Lab/Blacklist/tree/61a04d2c5e49341d76735d485c61f0d1177d08a8/lists	https://raw.githubusercontent.com/Boyle-Lab/Blacklist/61a04d2c5e49341d76735d485c61f0d1177d08a8/lists/hg19-blacklist.v2.bed.gz	7731	7731	Git_blob_SHA1	5d87eb135971a4b5e1010045ab5c5bbc4736e1ab	false	NA	local_SHA256_required
R04	build_reference	NA	hg38_blacklist_v2	hg38_blacklist	target_blacklist	selected	NA	NA	NA	NA	NA	GRCh38	NA	gzip_BED	Boyle_Lab	https://github.com/Boyle-Lab/Blacklist/tree/61a04d2c5e49341d76735d485c61f0d1177d08a8/lists	https://raw.githubusercontent.com/Boyle-Lab/Blacklist/61a04d2c5e49341d76735d485c61f0d1177d08a8/lists/hg38-blacklist.v2.bed.gz	5867	5867	Git_blob_SHA1	a4ec858104cbe907e9056e873cec278cee11066a	false	NA	local_SHA256_required
R05	matching_reference	NA	hg38_k100_umap	GRCh38_100bp_Umap	region_mappability	selected	NA	NA	NA	NA	NA	GRCh38	NA	gzip_BED	Umap_Bismap	https://bismap.hoffmanlab.org/	https://bismap.hoffmanlab.org/raw/hg38/k100.umap.bed.gz	1870831	1870831	ETag	HTTP_ETag_1c8bef-59f6cc65fba40	false	NA	omitted_track_coverage_is_zero
R06	matching_reference	NA	hg19_k100_umap	hg19_100bp_Umap	S_LDSC_mappability	selected	NA	NA	NA	NA	NA	hg19	NA	gzip_BED	Umap_Bismap	https://bismap.hoffmanlab.org/	https://bismap.hoffmanlab.org/raw/hg19/k100.umap.bed.gz	1445510	1445510	ETag	HTTP_ETag_160e86-59f6cc29e6c80	false	NA	omitted_track_coverage_is_zero
R07	gene_annotation	NA	GENCODE_v39	GENCODE_v39_GTF	gene_annotation	selected	NA	NA	NA	NA	NA	GRCh38	NA	gzip_GTF	GENCODE	https://www.gencodegenes.org/human/release_39.html	https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_39/gencode.v39.annotation.gtf.gz	NA	50000000	NA	NA	false	NA	budget_ceiling_provider_checksum_or_local_SHA256
P01	program_annotation	NA	CD4_CONTEXT_SWITCH	context_switch_scores	context_switching_program_annotation	selected_frozen	NA	NA	NA	NA	NA	NA	CD4_Rest_Stim8hr_Stim48hr	Parquet	project_frozen_output	NA	analyses/context_dynamics/results/switch_scores.parquet	250772	0	SHA256	8431f325c278e9cedf6c456ad917aa12fdddc0b492d03290f5a274fa28877a7a	false	0	verify_before_first_negative_GWAS
P02	program_annotation	NA	CD4_EDGE_EVIDENCE	regulatory_edge_evidence	direct_and_secondary_regulatory_evidence_annotation	selected_frozen	NA	NA	NA	NA	NA	NA	CD4_Rest_Stim8hr_Stim48hr	Parquet	project_frozen_output	NA	analyses/molecular_cascade/results/edge_evidence_matrix.parquet	1867568	0	SHA256	463185e912e5370b5fdd49afd44789f3ff87cc91000e2cfb3730835f0f337785	false	0	verify_before_first_negative_GWAS
P03	program_annotation	NA	CD4_TRANSFER_PHENOTYPES	transfer_phenotypes	transfer_class_and_signed_response_annotation	selected_frozen	NA	NA	NA	NA	NA	NA	CD4_Rest_Stim8hr_Stim48hr	Parquet	project_frozen_output	NA	analyses/primary/results/transfer_phenotypes.parquet	1991787	0	SHA256	4327ea47df56278e92a60c8e4a26c41f5ff2d8f4e4786108e23e8998d0f97b3f	false	0	verify_before_first_negative_GWAS
P04	program_annotation	NA	CD4_STATE_DECOMPOSITION	core_and_state_residual	conserved_core_and_state_residual_annotation	selected_frozen	NA	NA	NA	NA	NA	NA	CD4_Rest_Stim8hr_Stim48hr	Parquet	project_frozen_output	NA	analyses/state_response_decomposition/results/target_state_decomposition.parquet	713649	0	SHA256	576e9d12e22aa4f790d4f4f535de3f40480911857ee8959c705a5a51a2174863	false	0	verify_before_first_negative_GWAS
P05	program_annotation	NA	CD4_MODULE_LOADINGS	reference_module_loadings	fixed_module_loading_annotation	selected_frozen	NA	NA	NA	NA	NA	NA	CD4_reference	Parquet	project_frozen_output	NA	analyses/vectors/results/reference_module_loadings.parquet	3040851	0	SHA256	85a083525b34f2fa321eb43f7d71a42270ee5469306b4cf16cc56403b34739ef	false	0	verify_before_first_negative_GWAS
